control_id,document_id,topic,control_type,owner,evidence_template,status
GOV-001-C001,GOV-001,使命与价值主张,preventive,项目负责人,FRM-013,approved
GOV-001-C002,GOV-001,0301/0302优先范围,detective,项目负责人,FRM-013,approved
GOV-001-C003,GOV-001,首批链范围,corrective,项目负责人,FRM-013,approved
GOV-001-C004,GOV-001,证据级成功标准,preventive,项目负责人,FRM-013,approved
GOV-001-C005,GOV-001,阶段门授权,detective,项目负责人,FRM-013,approved
GOV-001-C006,GOV-001,对外承诺边界,corrective,项目负责人,FRM-013,approved
GOV-001-C007,GOV-001,资源优先级,preventive,项目负责人,FRM-013,approved
GOV-001-C008,GOV-001,试点退出条件,detective,项目负责人,FRM-013,approved
GOV-001-C009,GOV-001,重大风险升级,corrective,项目负责人,FRM-013,approved
GOV-001-C010,GOV-001,项目终止条件,preventive,项目负责人,FRM-013,approved
GOV-001-C011,GOV-001,利益相关方沟通,detective,项目负责人,FRM-013,approved
GOV-001-C012,GOV-001,年度目标冻结,corrective,项目负责人,FRM-013,approved
GOV-002-C001,GOV-002,文件层级定义,preventive,质量负责人,FRM-013,approved
GOV-002-C002,GOV-002,单一权威来源,detective,质量负责人,FRM-013,approved
GOV-002-C003,GOV-002,文件编号规则,corrective,质量负责人,FRM-013,approved
GOV-002-C004,GOV-002,主文档与附件关系,preventive,质量负责人,FRM-013,approved
GOV-002-C005,GOV-002,版本状态,detective,质量负责人,FRM-013,approved
GOV-002-C006,GOV-002,批准权限,corrective,质量负责人,FRM-013,approved
GOV-002-C007,GOV-002,外来文件控制,preventive,质量负责人,FRM-013,approved
GOV-002-C008,GOV-002,引用与链接,detective,质量负责人,FRM-013,approved
GOV-002-C009,GOV-002,废止与归档,corrective,质量负责人,FRM-013,approved
GOV-002-C010,GOV-002,受控副本,preventive,质量负责人,FRM-013,approved
GOV-002-C011,GOV-002,机器可读索引,detective,质量负责人,FRM-013,approved
GOV-002-C012,GOV-002,文档冲突处理,corrective,质量负责人,FRM-013,approved
GOV-002-C013,GOV-002,发布渠道,preventive,质量负责人,FRM-013,approved
GOV-002-C014,GOV-002,历史版本检索,detective,质量负责人,FRM-013,approved
GOV-003-C001,GOV-003,管理层责任,preventive,项目负责人,FRM-013,approved
GOV-003-C002,GOV-003,项目负责人权限,detective,项目负责人,FRM-013,approved
GOV-003-C003,GOV-003,质量负责人独立性,corrective,项目负责人,FRM-013,approved
GOV-003-C004,GOV-003,技术负责人职责,preventive,项目负责人,FRM-013,approved
GOV-003-C005,GOV-003,方法负责人职责,detective,项目负责人,FRM-013,approved
GOV-003-C006,GOV-003,安全负责人职责,corrective,项目负责人,FRM-013,approved
GOV-003-C007,GOV-003,数据管理员职责,preventive,项目负责人,FRM-013,approved
